Recommendation ID,Recommendation Category,Implementation Group,"Aggregate Risk Level (Network Exposure, Data Level, RTO, Audience)",Recommendation Description,"Policy Defined - From No Policy, to Informal Policy to Fully Approved Policy","Control Implemented - From not implemented, to somewhat implemented, to fully implemented","Control Automated - From not automated, to partially automated, to fully automated","Control Reported - From not reported on, to partially reported on, to fully reported on",Assigned To,Validation Date,Notes/Evidence,CIS v8 Safeguards,NIST CSF Subcategories,Details
AI-VND-02,Layer 0: Governance & System Controls,IG 1,1-High,"Enforce AI vendor minimum security terms, explicitly mandating ""no training on customer data,"" strict tenancy, and guaranteed log access.",0,0,0,0,,,,"15.1, 15.2",GV.SC,"Detailed Description:
Enforce standardized, non-negotiable minimum security terms in all contracts with AI vendors and SaaS providers introducing AI features. This must explicitly mandate ""zero data retention for model training,"" strict data tenancy isolation, guaranteed log exports, and data residency compliance.

Why AI Compounds Risk:
Many AI vendors—especially consumer-focused ones pivoting to B2B—default to using customer prompts and data to train their future public models. Without explicit contractual ""opt-outs"" and tenancy guarantees, sensitive enterprise data entered into an AI tool could be memorized by the provider's model and inadvertently leaked to competitors or the public via future user queries.

Examples:
1. Require vendors to sign a Data Processing Agreement (DPA) explicitly stating that customer data (prompts, RAG context, file uploads, outputs) will absolutely not be used to train, fine-tune, or improve foundational models.
2. Mandate that multi-tenant AI SaaS platforms provide logical separation and encrypted isolation of tenant workspaces, with Bring Your Own Key (BYOK) support where applicable.
3. Ensure the vendor supports automated export of AI interaction logs and audit trails to the enterprise SIEM via API for continuous monitoring."
AI-GOV-01,Layer 0: Governance & System Controls,IG 1,2-Medium,Establish and enforce a Generative AI Acceptable Use Policy,0,0,0,0,,,,"15.1, 17.1","GV.PO, GV.OV","Detailed Description:
This recommendation involves creating and enforcing a formal set of rules that define how employees can ethically and securely use generative AI tools. It establishes clear boundaries regarding permitted and prohibited use cases, data handling requirements, and the roles and responsibilities of staff to ensure AI adoption aligns with organizational values and legal obligations.

Why AI Compounds Risk:
AI exacerbates risk because tools often lack transparency in how they process data, frequently use employee inputs to train public models, and can generate inaccurate or biased content (hallucinations) that leads to legal, reputational, or security breaches if not properly governed.

Examples:
1. Maintain a curated list of vetted and authorized AI tools that have been reviewed by security and legal teams for compliance and data encryption standards.
2. Explicitly prohibit the input of sensitive information—such as personally identifiable information (PII), intellectual property, or trade secrets—into public or non-corporate-managed AI systems.
3. Implement a mandatory human-in-the-loop (HITL) review process where employees must fact-check and verify all AI-generated outputs for accuracy and bias before they are used in business decisions or external communications."
AI-GOV-02,Layer 0: Governance & System Controls,IG 1,2-Medium,Implement rigorous Data Classification Mapping and System Agnostic Coverage Policies,0,0,0,0,,,,"15.1, 17.1","GV.PO, GV.OV","Detailed Description:
This recommendation involves creating a comprehensive framework that identifies, categorizes, and labels data based on its sensitivity (mapping) and applies security controls consistently across all platforms, whether on-premises, in the cloud, or within third-party applications (system-agnostic).

Why AI Compounds Risk:
AI exacerbates data risks by requiring massive datasets that are often moved from their original secure contexts, making them harder to track, and by potentially leaking sensitive training data through model outputs or being targeted by new privacy attacks like model inversion.

Examples:
1. Use automated Data Security Posture Management (DSPM) tools to continuously scan and label unstructured data across hybrid environments like team messaging apps, cloud storage platforms, and enterprise data warehouses without relying on manual user input.
2. Integrate data labels with automated enforcement actions, such as revoking overly permissive access or blocking the ingestion of ""Restricted"" files into generative AI corporate copilots.
3. Establish a unified policy engine that applies consistent security tags and encryption requirements to data regardless of its format (structured vs. unstructured) or where it resides, ensuring compliance with standards like GDPR or HIPAA."
AI-GOV-03,Layer 0: Governance & System Controls,IG 1,2-Medium,"Establish an Approved AI Service Catalog and enforce it via web proxies/CASB, explicitly limiting employee access to only vetted and sanctioned AI tools.",0,0,0,0,,,,"15.1, 17.1","GV.PO, GV.OV","Detailed Description:
This recommendation involves creating a centralized, vetted list of approved AI services and using technical controls like Cloud Access Security Brokers (CASB) or web proxies to block access to unmanaged ""Shadow AI"" while allowing only sanctioned tools.

Why AI Compounds Risk:
AI exacerbates risk because the rapid proliferation of easy-to-use GenAI tools leads to widespread ""Shadow AI"" usage, where employees may inadvertently upload sensitive proprietary data or personally identifiable information into public models that use the data for training.

Examples:
1. Configure a CASB to automatically discover all AI applications in use, assign risk scores to them, and enforce real-time block policies on high-risk or unsanctioned AI websites.
2. Implement a service catalog within an ITSM platform where employees can view and request access to pre-vetted AI tools that meet company security and compliance standards.
3. Use a Secure Web Gateway to apply granular controls, such as allowing ""view only"" access to certain AI sites while blocking the ability to ""upload"" or ""post"" content to prevent data exfiltration."
AI-GOV-04,Layer 0: Governance & System Controls,IG 2,1-High,"Implement Continuous Session Risk Monitoring (e.g., 'impossible travel') to detect and automatically revoke session tokens hijacked by AI-automated scripts.",0,0,0,0,,,,"9.1, 9.2",PR.IR,"Detailed Description:
Continuous session risk monitoring is a security strategy that tracks active user sessions in real time to detect anomalies, such as impossible travel, which occurs when a single account is accessed from two geographically distant locations faster than physical travel allows. By integrating automated response mechanisms, the system can instantly revoke session tokens or cookies when suspicious behavior is identified, effectively terminating unauthorized access before data exfiltration or lateral movement occurs.

Why AI Compounds Risk:
AI exacerbates this risk by enabling attackers to use automated scripts and botnets that can hijack sessions at scale and high velocity, often bypassing traditional multi-factor authentication (MFA) by replaying stolen tokens. AI-driven tools can also mimic legitimate user behavior or device fingerprints more convincingly, making it harder for static security rules to distinguish between a human user and a malicious automated process.

Examples:
1. Deploy an identity protection solution, such as an enterprise identity provider or cloud application security broker, to establish a baseline of normal user activity and automatically trigger alerts or block access when impossible travel is detected.
2. Implement a Security Orchestration, Automation, and Response (SOAR) playbook that integrates with your Identity and Access Management (IAM) system to automatically invalidate session tokens and force re-authentication if a high-risk anomaly is flagged.
3. Use behavioral analytics and machine learning tools to monitor for unusual session patterns, such as unexpected changes in IP addresses, user agents, or concurrent sessions from multiple countries, and apply risk-based conditional access policies."
AI-GOV-08,Layer 0: Governance & System Controls,IG 2,1-High,Establish OAuth Application Governance to restrict third-party 'AI Productivity' apps from accessing sensitive mailbox or cloud storage data.,0,0,0,0,,,,"9.1, 9.2",PR.IR,"Detailed Description:
Implement a centralized management framework to monitor and control third-party applications that use OAuth tokens to access corporate data environments like enterprise productivity suites.

Why AI Compounds Risk:
Mitigate risks associated with overprivileged permissions by identifying apps with excessive access to sensitive mailboxes and cloud storage that do not align with their stated functional purpose

Examples:
1. Address the unique threat of AI productivity tools which operate autonomously to consume, summarize, and move vast amounts of data across integrated SaaS platforms without constant human oversight
2. Prevent structural data exposure caused by persistent AI integrations that can quietly exfiltrate thousands of records daily through legitimate but unmonitored API connections
3. Enable the App Governance feature within the enterprise endpoint protection platform for Cloud Apps to gain deep visibility into OAuth-enabled app behaviors and automated response capabilities
4. Establish custom governance policies that automatically revoke access for stale applications or those showing anomalous data transfer patterns and unauthorized permission changes
5. Restrict self-service user consent to ensure only qualified administrators can authorize new AI integrations after a thorough security review of the requested scopes and publisher reputation"
AI-NHI-01,Layer 0: Governance & System Controls,IG 2,1-High,"Establish Non-Human Identity (NHI) Inventory and Governance (service accounts, API keys, tokens, agent identities)",0,0,0,0,,,,"5.1, 5.2, 6.8","ID.AM, PR.AA, PR.AC","Detailed Description:
Implement a comprehensive centralized inventory and lifecycle governance program for all non-human identities (NHIs). This includes service accounts, API keys, OAuth tokens, machine identities, and autonomous AI agent identities. The program must track ownership, enforce least privilege (RBAC), and mandate regular rotation and auditing of these credentials.

Why AI Compounds Risk:
AI systems, particularly autonomous agents and large language model (LLM) pipelines, heavily rely on non-human identities to interact with databases, APIs, and cloud services at machine speed. As organizations deploy more AI integrations, the rapid proliferation of unmanaged API keys, hidden service accounts, and overly permissive OAuth tokens creates a massive, invisible attack surface. If an adversary compromises an AI prompt or an agent's workspace, they can immediately harvest these NHIs to pivot laterally, exfiltrate data, or escalate privileges without ever triggering human-centric MFA or behavioral alerts.

Examples:
1. Deploy an NHI management platform or Cloud Infrastructure Entitlement Management (CIEM) tool to continuously auto-discover and map all service accounts, API keys, and OAuth tokens.
2. Enforce strict lifecycle policies for AI-associated identities, prioritizing the use of short-lived/ephemeral tokens and mandatory automated credential rotation rather than static API keys.
3. Implement behavioral monitoring specifically for non-human accounts to detect anomalies, such as an AI agent service account suddenly calling an administrative API or moving large volumes of data outside its baseline."
AI-GOV-09,Layer 0: Governance & System Controls,IG 2,2-Medium,Establish a Deepfake/Voice Clone Executive Protection Protocol,0,0,0,0,,,,"15.1, 17.1","GV.PO, GV.OV","Detailed Description:
This protocol is a formal set of security procedures designed to verify the authenticity of communications from high-ranking officials to prevent fraud, such as unauthorized wire transfers or data breaches, stemming from AI-generated impersonations.

Why AI Compounds Risk:
AI exacerbates this risk by allowing attackers to create hyper-realistic voice clones and deepfake videos from just seconds of public audio or video, making it nearly impossible for humans to distinguish between genuine and synthetic requests under pressure.

Examples:
1. Implement mandatory out-of-band verification, such as requiring a secondary confirmation through a pre-approved, trusted channel like a direct call to a known number or a secure internal messaging app before executing high-stakes requests.
2. Establish a secret ""safe word"" or ""code of the day"" program where executives must provide a specific, non-public phrase to authenticate their identity during urgent or unusual verbal interactions.
3. Enforce strict separation of duties and multi-person authorization for all financial transactions, ensuring that no single request, even if it appears to come from the CEO, can be processed without multiple layers of human approval."
AI-GOV-10,Layer 0: Governance & System Controls,IG 2,2-Medium,Require AI Vendor Risk Assessments for all new software purchases,0,0,0,0,,,,"15.1, 17.1","GV.PO, GV.OV","Detailed Description:
This recommendation mandates that any new software procurement must undergo a specialized risk assessment to evaluate the artificial intelligence components, focusing on model-specific risks like training data provenance, algorithmic bias, and output reliability that standard security reviews might overlook.

Why AI Compounds Risk:
AI exacerbates risk because systems are dynamic and can experience model drift or change behavior over time, process massive amounts of sensitive data that may be repurposed for training, and often lack transparency in how they reach specific decisions or handle data isolation.

Examples:
1. Tier vendors based on AI criticality so that high-risk tools, such as those handling customer PII, receive deeper technical scrutiny than low-risk internal summarization tools.
2. Require vendors to provide model cards or system cards that document the model's capabilities, limitations, and intended use cases to ensure alignment with corporate ethical and security standards.
3. Update the Third-Party Risk Management (TPRM) program to include specific questionnaire items regarding whether company data will be used to train the vendor's global models and if there are options for users to opt out of AI features."
AI-GOV-11,Layer 0: Governance & System Controls,IG 2,2-Medium,Develop an AI-specific Incident Response Playbook,0,0,0,0,,,,"15.1, 17.1","GV.PO, GV.OV","Detailed Description:
An AI-specific Incident Response Playbook is a structured guide that establishes step-by-step procedures for detecting, containing, and resolving security events unique to AI systems. Unlike traditional playbooks, it focuses on specialized threats such as prompt injection, model theft, and data poisoning, providing clear protocols for kill switch authority, evidence preservation, and regulatory notification workflows.

Why AI Compounds Risk:
AI exacerbates risk because it compresses attack timelines from hours to minutes, operates at a scale that exceeds human defensive capabilities, and introduces a new attack surface including autonomous agents and complex API connections that traditional security tools are not built to monitor.

Examples:
1. Implement specialized detection by configuring AI Gateway alerts and SIEM correlation rules to monitor for specific threat patterns like jailbreaking and goal hijacking.
2. Define clear containment protocols such as 15-minute windows for activating kill switches or switching to human-in-the-loop mode during active data exfiltration events.
3. Integrate regulatory compliance templates into the playbook to ensure automated reporting for mandates like the EU AI Act or GDPR within required windows."
